tracking_id	15_1	15_2	15_3	16_1	16_2	16_3
ENSG00000000003	54.6964	60.1067	59.2718	48.3148	52.9558	56.6961	
ENSG00000000005	0.0750391	0.0843656	0	0.0782812	0	0	
ENSG00000000419	53.3912	57.999	54.819	58.2633	61.8894	67.6294	
ENSG00000000457	7.62342	10.9678	10.0015	8.14883	9.2512	10.9619	
ENSG00000000460	7.79774	10.1922	9.54344	10.2614	7.28546	11.3006	
ENSG00000000938	0.419984	0.503247	0.520163	0.259812	0.391033	0.833	
ENSG00000000971	0.885217	0.664663	0.70616	1.49243	2.31895	2.27968	
ENSG00000001036	52.369	59.9455	58.8915	73.1415	70.5656	82.0655	
ENSG00000001084	13.4436	8.7767	6.8513	10.3429	5.83167	9.05123	
ENSG00000001167	15.2716	16.4955	17.2495	14.3613	14.7715	15.3555	
ENSG00000001460	11.7757	9.93782	12.8053	10.3464	11.6413	9.76146	
ENSG00000001461	66.9675	70.4039	77.1028	69.6624	77.1163	72.7604	
ENSG00000001497	32.2138	34.5831	36.0162	32.7022	34.2216	36.9886	
ENSG00000001561	0.394996	0.702533	0.886969	1.05346	0.962484	1.21527	
ENSG00000001617	0.22115	1.5742	0.797564	0	0.479892	0.0488351	
ENSG00000001626	0.626704	0.443598	0.41253	0.181505	0.234285	0.0233366	
ENSG00000001629	12.6512	19.161	21.7202	24.2585	13.3766	22.0122	
ENSG00000001630	71.5947	80.9937	82.5286	70.3121	79.6884	88.4593	
ENSG00000001631	18.3585	19.9804	22.9016	16.832	21.9603	21.1436	
ENSG00000002016	8.47591	6.54239	10.8552	6.47307	8.73734	5.69012	
ENSG00000002079	0.0647658	0.169673	0.121854	0.0524028	0.0721349	0.144301	
ENSG00000002330	85.4481	93.059	85.3445	90.4306	93.1027	109.038	
ENSG00000002549	153.754	164.461	170.037	171	179.58	197.383	
ENSG00000002586	283.15	288.291	312.088	240.238	278.834	279.756	
ENSG00000002587	0.906846	3.57618	1.08255	0.788633	1.77336	1.51701	
ENSG00000002726	0.19666	0.23545	0.264594	0.117383	0.571367	0.105919	
ENSG00000002745	0.348662	0.565614	0.408348	0.840081	0.296181	0.361578	
ENSG00000002746	0.446762	0.349058	1.60965	1.94222	0.401691	1.06035	
ENSG00000002822	65.7812	71.1404	62.5649	50.9635	51.4595	128.804	
ENSG00000002834	42.5996	41.7193	47.0415	39.2192	41.9238	44.1606	
ENSG00000002919	18.2883	22.0452	23.6403	25.8308	27.8687	29.7354	
ENSG00000002933	0	0.0446121	0.116065	0	0	0	
ENSG00000003056	102.596	110.631	112.526	129.547	127.851	127.173	
ENSG00000003096	13.6909	17.2812	17.3935	16.5086	17.334	19.3859	
ENSG00000003137	2.77795	2.01397	2.04743	1.44336	1.61479	1.18745	
ENSG00000003147	2.50399	3.43389	5.20409	9.18237	9.06914	8.75828	
ENSG00000003249	6.70996	5.37391	3.71611	5.42278	3.21682	4.70385	
ENSG00000003393	16.0023	18.5837	20.2327	21.3847	21.376	20.8634	
ENSG00000003400	0.665136	0.929249	1.13178	0.386623	0.715667	0.56034	
ENSG00000003402	40.969	35.8239	37.8746	30.5402	34.9456	35.1238	
ENSG00000003436	2.77259	4.65718	2.61229	6.04266	8.46409	9.18301	
