test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	regulation
ENSMUSG00000030105	ENSMUSG00000030105	Arl8b	6:108783098-108825278	mouse_13	mouse_14	OK	40.0903	32.5108	-0.30233415620905	-0.67315	0.24025	0.333644	no	-
ENSMUSG00000096054	ENSMUSG00000096054	Syne1	10:5020916-5551482	mouse_13	mouse_14	OK	1.4691	2.66806	0.860858508693425	1.63295	0.00755	0.0171275	yes	-
ENSMUSG00000020495	ENSMUSG00000020495	Smg8	11:87077731-87086774	mouse_13	mouse_14	OK	4.279	10.3419	1.27315567592743	4.05805	5e-05	0.000176968	yes	up
ENSMUSG00000058979	ENSMUSG00000058979	Hdhd5	6:120509493-120531319	mouse_13	mouse_14	OK	7.25643	6.39459	-0.182408088089258	-0.526193	0.3509	0.450219	no	-
ENSMUSG00000049536	ENSMUSG00000049536	Tceal1	X:136707981-136711478	mouse_13	mouse_14	OK	1.10861	2.38218	1.1035305025144	2.47988	5e-05	0.000176968	yes	up
ENSMUSG00000027333	ENSMUSG00000027333	Smox	2:131491495-131525922	mouse_13	mouse_14	OK	7.39392	6.97161	-0.0848475684047847	-0.196456	0.70095	0.769164	no	-
ENSMUSG00000025237	ENSMUSG00000025237	Parp6	9:59617283-59650285	mouse_13	mouse_14	OK	9.81378	10.1146	0.0435584317351628	0.137581	0.8081	0.856202	no	-
ENSMUSG00000006299	ENSMUSG00000006299	Aamp	1:74279839-74284738	mouse_13	mouse_14	OK	169.384	108.851	-0.637942942801182	-2.82329	5e-05	0.000176968	yes	-
ENSMUSG00000036792	ENSMUSG00000036792	Mbd5	2:48814108-49325405	mouse_13	mouse_14	OK	3.8754	11.7989	1.6062352336247	1.01983	0.01795	0.0370036	yes	up
ENSMUSG00000021287	ENSMUSG00000021287	Xrcc3	12:111758848-111813873	mouse_13	mouse_14	OK	2.6624	4.56454	0.777742138669892	0.352078	0.2391	0.3325	no	-
ENSMUSG00000041241	ENSMUSG00000041241	Mul1	4:138434670-138442265	mouse_13	mouse_14	OK	2.87988	8.05803	1.48441847852012	2.05423	0.0005	0.00148851	yes	up
ENSMUSG00000021368	ENSMUSG00000021368	Tbc1d7	13:43151739-43171501	mouse_13	mouse_14	OK	30.5817	24.0208	-0.348384406577098	-1.14833	0.044	0.0811826	no	-
ENSMUSG00000041607	ENSMUSG00000041607	Mbp	18:82475145-82585637	mouse_13	mouse_14	OK	6.46657	2.45782	-1.39562141746072	-2.14409	5e-05	0.000176968	yes	down
ENSMUSG00000001053	ENSMUSG00000001053	N4bp3	11:51643062-51650842	mouse_13	mouse_14	OK	6.59882	1.84693	-1.8370788768667	-4.49148	5e-05	0.000176968	yes	down
ENSMUSG00000085787	ENSMUSG00000085787	Gm13092	4:150281645-150621966	mouse_13	mouse_14	OK	16.0125	4.50849	-1.82848234378771	-0.711804	0.28485	0.382284	no	-
ENSMUSG00000030374	ENSMUSG00000030374	Strn4	7:16809245-16840931	mouse_13	mouse_14	OK	38.1764	27.8346	-0.455801713363744	-1.67504	0.0015	0.00401734	yes	-
ENSMUSG00000034297	ENSMUSG00000034297	Med13	11:86201369-86357602	mouse_13	mouse_14	OK	0.884979	2.22864	1.33244846539055	0.857053	0.0083	0.0186655	yes	up
ENSMUSG00000032298	ENSMUSG00000032298	Neil1	9:57142799-57148305	mouse_13	mouse_14	OK	10.6865	9.89423	-0.111130082970563	-0.316401	0.5831	0.667985	no	-
ENSMUSG00000022594	ENSMUSG00000022594	Lynx1	15:74747851-74753046	mouse_13	mouse_14	OK	4.27541	4.40339	0.042551849630774	0.113955	0.8269	0.871111	no	-
ENSMUSG00000055958	ENSMUSG00000055958	Gm9987	10:58812573-58813142	mouse_13	mouse_14	OK	1.19963	0.747269	-0.6828899269431	-0.587633	0.29365	0.391312	no	-
ENSMUSG00000082911	ENSMUSG00000082911	Gm14119	2:148419031-148419266	mouse_13	mouse_14	OK	0.345543	1.63364	2.24115293794045	1.95219	0.22735	0.319473	no	-
ENSMUSG00000038459	ENSMUSG00000038459	Abhd17c	7:84109355-84151893	mouse_13	mouse_14	OK	2.90881	0.983606	-1.5642766238781	-2.71488	5e-05	0.000176968	yes	down
ENSMUSG00000001441	ENSMUSG00000001441	Npepps	11:97205841-97282897	mouse_13	mouse_14	OK	41.7372	39.0642	-0.0954867490913664	-0.308762	0.55345	0.642101	no	-
ENSMUSG00000030754	ENSMUSG00000030754	Copb1	7:114215558-114254711	mouse_13	mouse_14	OK	119.148	119.857	0.00855943419090196	0.0407972	0.9403	0.955866	no	-
ENSMUSG00000078851	ENSMUSG00000078851	Hist3h2a	11:58954684-58978050	mouse_13	mouse_14	OK	7.99064	9.01072	0.17333133036007	0.514399	0.3685	0.467699	no	-
ENSMUSG00000033186	ENSMUSG00000033186	Mzt1	14:99034543-99046134	mouse_13	mouse_14	OK	25.7169	22.9373	-0.165021167381406	-0.512243	0.3655	0.464778	no	-
ENSMUSG00000026577	ENSMUSG00000026577	Blzf1	1:164289799-164458355	mouse_13	mouse_14	OK	10.9077	22.4381	1.04060359071287	2.49346	0.0001	0.000337677	yes	up
ENSMUSG00000020123	ENSMUSG00000020123	Avpr1a	10:122386891-122546498	mouse_13	mouse_14	OK	1.42026	8.62627	2.60258181177774	6.56074	5e-05	0.000176968	yes	up
ENSMUSG00000034639	ENSMUSG00000034639	Setmar	6:108065044-108077122	mouse_13	mouse_14	OK	1.49706	4.3543	1.54030876521857	3.20452	5e-05	0.000176968	yes	up
ENSMUSG00000030888	ENSMUSG00000030888	Rrp8	7:105731729-105744361	mouse_13	mouse_14	OK	14.4733	19.2468	0.411224698664552	0.326059	0.4181	0.515544	no	-
ENSMUSG00000000544	ENSMUSG00000000544	Gpa33	1:166130237-166166510	mouse_13	mouse_14	OK	6.50933	2.45655	-1.40587545197565	-3.29521	5e-05	0.000176968	yes	down
ENSMUSG00000062184	ENSMUSG00000062184	Hs6st2	X:51387211-51681856	mouse_13	mouse_14	OK	38.0217	81.7039	1.10358190645363	1.81646	0.0018	0.00474109	yes	up
ENSMUSG00000015247	ENSMUSG00000015247	Nipsnap3b	4:53011879-53022060	mouse_13	mouse_14	OK	69.236	44.7565	-0.62942515706716	-2.389	5e-05	0.000176968	yes	-
ENSMUSG00000048603	ENSMUSG00000048603	Gm9828	13:98309895-98324415	mouse_13	mouse_14	OK	1.70556	0.952707	-0.84014101427084	-0.21764	0.5222	0.61348	no	-
ENSMUSG00000110744	ENSMUSG00000110744	Gm5171	10:30608140-30803326	mouse_13	mouse_14	OK	2.98128	1.80532	-0.72367729563803	-0.76623	0.1896	0.276304	no	-
ENSMUSG00000032059	ENSMUSG00000032059	Alg9	9:50762827-50843542	mouse_13	mouse_14	OK	16.5738	20.4747	0.304937895275554	0.894463	0.10105	0.164367	no	-
ENSMUSG00000033147	ENSMUSG00000033147	Slc22a15	3:101855775-101924453	mouse_13	mouse_14	OK	0.971198	1.88419	0.95610709658785	1.79078	0.0028	0.00704492	yes	-
ENSMUSG00000030623	ENSMUSG00000030623	Prss23os	7:89507782-89527187	mouse_13	mouse_14	OK	85.1906	188.916	1.14897873791683	3.66048	5e-05	0.000176968	yes	up
