tracking_id	13_1	13_2	13_3	14_1	14_2	14_3
ENSMUSG00000000001	126.323	141.716	151.665	111.561	109.789	103.091
ENSMUSG00000000028	11.0616	10.7801	11.8018	8.87829	8.44886	8.24522
ENSMUSG00000000031	381.116	433.173	471.562	168.978	188.003	184.188
ENSMUSG00000000037	1.54285	2.23655	0.715274	1.1214	0.721114	0.383869
ENSMUSG00000000056	2.46049	5.67595	3.35375	18.4732	15.8564	15.1682
ENSMUSG00000000058	25.2995	27.3582	30.028	36.8376	43.8585	45.0444
ENSMUSG00000000078	28.5013	27.7239	32.5815	224.967	215.239	206.892
ENSMUSG00000000085	8.52745	7.80513	6.29974	15.669	14.1509	13.4156
ENSMUSG00000000088	496.664	548.586	545.08	146.64	190.856	199.506
ENSMUSG00000000094	1.44295	1.49277	1.4678	2.89045	2.22084	2.90431
ENSMUSG00000000126	2.38574	1.32077	1.18651	12.9898	12.0986	11.5115
ENSMUSG00000000127	42.1995	48.3721	46.9101	35.9501	32.0026	31.6375
ENSMUSG00000000131	37.815	29.6043	24.1641	35.95	26.3755	26.0202
ENSMUSG00000000134	19.8668	19.2637	20.7143	23.0365	25.4326	25.178
ENSMUSG00000000142	0.109	0.200885	0.347898	1.45516	1.28607	0.948589
ENSMUSG00000000148	4.54458	4.59037	4.29582	12.7635	12.486	12.9431
ENSMUSG00000000149	4.01017	3.05923	3.5673	2.19678	2.18631	2.18265
ENSMUSG00000000154	2.08503	2.84823	1.74338	2.04074	1.42101	2.18176
ENSMUSG00000000167	0.886188	1.4261	1.05897	1.82594	0.845285	1.60856
ENSMUSG00000000168	108.506	126.246	127.613	60.7946	64.8364	62.3391
ENSMUSG00000000171	254.336	276.503	309.06	145.261	144.408	153.584
ENSMUSG00000000184	2186.26	2466.71	2390.64	476.058	640.233	659.362
ENSMUSG00000000194	20.0405	19.0398	21.8548	43.9153	48.3905	45.9803
ENSMUSG00000000244	4.28299	7.38585	7.3651	2.01593	3.42653	2.18676
ENSMUSG00000000253	19.48	19.7514	22.0166	20.2555	20.4545	19.2782
ENSMUSG00000000266	1.36739	0.902106	1.71456	4.15517	4.50814	3.29877
ENSMUSG00000000275	4.40229	4.48406	3.80272	6.67676	7.39886	7.93486
ENSMUSG00000000276	0.346866	0.357619	0.580286	2.16896	1.89134	1.76785
ENSMUSG00000000278	170.064	198.454	214.879	241.628	250.71	241.303
ENSMUSG00000000282	0.718923	1.24372	0.855822	1.67122	1.41027	1.43167
ENSMUSG00000000295	76.9415	83.4372	103.684	30.9408	31.6452	35.1173
ENSMUSG00000000296	19.5856	16.1156	19.2239	7.3827	8.7408	10.1054
ENSMUSG00000000301	13.2502	13.5364	12.431	4.79226	5.06237	3.43276
ENSMUSG00000000303	21.1149	19.5837	26.0417	6.4015	7.93077	5.57779
ENSMUSG00000000305	1.039	0.989997	1.68145	0.358347	0.46281	0.691675
ENSMUSG00000000308	10.5744	11.6205	9.59236	3.73673	3.44835	2.96494
ENSMUSG00000000325	5.81176	6.51302	7.14603	10.063	9.58288	9.08543
ENSMUSG00000000326	145.99	162.681	163.208	126.831	127.185	121.686
ENSMUSG00000000339	82.8357	89.2734	101.506	31.1097	35.1866	34.3374
ENSMUSG00000000340	6.34646	7.51352	8.2451	4.68362	4.61956	5.7148
ENSMUSG00000000346	211.361	235.67	261.806	119.033	117.539	119.556
ENSMUSG00000000355	118.055	129.341	134.605	67.6058	61.2723	61.5932
ENSMUSG00000000359	2.43743	1.17881	2.69291	5.7868	6.72039	6.83293
ENSMUSG00000000365	0.977413	1.02047	1.57269	0.536823	0.949003	0.254641
ENSMUSG00000000374	2.61952	1.39857	1.2501	2.10167	1.02414	1.33817
ENSMUSG00000000378	68.7991	59.9647	59.4129	79.8056	71.3775	69.1958
ENSMUSG00000000384	6.85299	9.73482	6.86872	4.94298	4.472	3.24991
ENSMUSG00000000392	7.36171	8.00735	9.57839	14.0881	12.5128	11.383
ENSMUSG00000000399	255.827	268.661	302.047	116.909	119.268	119.883
ENSMUSG00000000402	1.18797	0.519371	1.5721	2.85904	2.39364	2.75681
ENSMUSG00000000409	0.689983	1.27243	1.17699	1.43065	2.03343	1.51494
ENSMUSG00000000416	0.95924	0.0679253	0.471028	1.41977	1.65561	4.03815
ENSMUSG00000000420	11.6357	5.61332	5.69327	5.83244	4.62039	5.08437
ENSMUSG00000000439	14.9544	23.4324	20.0484	14.5729	17.0977	15.0189
ENSMUSG00000000440	1.81061	2.634	1.87433	0.722846	1.33738	1.03417
ENSMUSG00000000441	35.2134	37.8171	41.0505	45.1849	42.3042	43.0902
ENSMUSG00000000486	1.80511	1.10162	1.43812	0.790141	0.727748	1.48704
ENSMUSG00000000530	14.1451	13.233	15.2135	16.0821	16.3873	16.2495
ENSMUSG00000000538	14.3605	19.5392	16.8106	22.3587	21.7002	19.4831
ENSMUSG00000000544	6.32815	6.08192	7.11791	2.17442	2.50238	2.69285
ENSMUSG00000000552	12.8746	12.6325	13.3482	9.66388	9.26059	11.0151
ENSMUSG00000000555	63.8607	71.2498	67.3987	225.209	229.99	212.247
ENSMUSG00000000561	39.4329	37.5259	47.7032	33.0256	36.9625	34.2753
ENSMUSG00000000563	335.983	379.863	425.883	151.365	143.927	138.47
ENSMUSG00000000567	0.787617	0.377218	0.4515	1.92734	1.83146	2.18093
ENSMUSG00000000568	10.2355	4.72978	6.80427	3.11548	3.72838	2.47231
ENSMUSG00000000579	2.00695	2.27965	2.36955	1.62412	1.49327	2.08855
ENSMUSG00000000581	22.9535	25.6077	33.1748	29.6272	36.1997	34.9648
ENSMUSG00000000594	54.692	63.096	69.3632	20.0093	20.7749	22.7882
ENSMUSG00000000600	11.9661	15.2493	15.1349	29.6893	27.0413	27.3461
ENSMUSG00000000605	15.9466	16.3126	19.5598	27.7399	27.2034	26.6464
ENSMUSG00000000627	1.7095	0.585762	0.566191	1.77194	1.83489	1.53422
ENSMUSG00000000628	3.51182	3.43446	3.73091	5.51608	6.26073	4.96118
ENSMUSG00000000631	12.5096	11.7056	10.9276	6.99107	7.04754	6.36619
ENSMUSG00000000682	3.32107	2.09102	2.57496	0.209095	0.173026	0.223798
ENSMUSG00000000690	1.24231	0.540678	0.797107	3.02331	3.55306	4.73536
ENSMUSG00000000693	132.479	133.162	154.059	291.438	296.335	288.955
ENSMUSG00000000708	1.63357	2.5543	2.05574	2.74008	1.44439	2.12944
ENSMUSG00000000711	16.4066	16.2712	16.2206	21.1271	21.352	21.967
ENSMUSG00000000738	76.4934	52.3381	39.7805	30.0782	20.9154	21.8512
ENSMUSG00000000740	2629.45	3093.86	2969.65	677.006	988.36	994.26
ENSMUSG00000000743	124.452	129.331	140.436	78.9042	85.9238	83.1898
ENSMUSG00000000751	103.345	112.6	113.93	54.3371	50.0729	48.2153
ENSMUSG00000000753	652.461	708.211	722.787	1002.72	1178.26	1139.49
ENSMUSG00000000759	16.7944	15.8705	17.0966	16.1377	16.0223	20.4631
ENSMUSG00000000776	10.438	10.8697	13.448	20.8671	22.8843	21.3818
ENSMUSG00000000787	24.4142	25.3436	30.4024	29.4141	29.1913	25.9251
ENSMUSG00000000791	0.602596	1.12231	1.38624	0.180483	0.202439	0.319543
ENSMUSG00000000804	2.37258	2.32397	2.56363	4.57341	3.71234	5.06001
ENSMUSG00000000811	10.7987	8.62383	8.70389	5.84273	4.72066	4.92263
ENSMUSG00000000823	0.774905	1.77419	0.843073	3.19009	3.50779	3.442
ENSMUSG00000000826	36.8084	34.9195	43.9313	49.2449	46.3963	40.2589
ENSMUSG00000000827	127.902	132.964	143.731	82.2551	93.518	86.6265
ENSMUSG00000000838	10.8758	6.01719	6.04564	8.25859	6.78662	7.7371
ENSMUSG00000000876	9.57719	12.3502	12.2338	11.2035	11.6809	10.7633
ENSMUSG00000000881	5.64272	6.52512	6.37764	13.504	14.8382	13.9968
ENSMUSG00000000884	13.1322	8.42894	13.3562	6.17174	4.00587	6.56817
ENSMUSG00000000901	11.9806	11.4028	17.0459	46.2309	43.4417	45.4228
ENSMUSG00000000902	99.259	103.361	112.215	68.7744	76.6699	72.8747
ENSMUSG00000000903	4.51948	4.62073	3.52994	1.31146	1.60815	0.649459
ENSMUSG00000000915	4.20629	3.54317	3.50094	3.01675	3.52473	1.81464
ENSMUSG00000000916	9.83896	9.52759	15.6232	7.66055	8.86122	9.59042
ENSMUSG00000000934	21.4395	24.6042	27.9027	10.4421	11.128	11.5954
ENSMUSG00000000938	2.36541	3.06579	3.7487	9.14403	9.42672	11.9328
ENSMUSG00000000957	184.122	154.24	125.437	282.727	249.223	245.222
ENSMUSG00000000958	3.14501	3.99263	2.92055	6.72423	6.1338	4.01884
ENSMUSG00000000959	21.1728	22.4072	23.7627	13.5756	13.5223	11.6111
ENSMUSG00000000976	6.68135	8.30939	7.49459	10.3622	8.95918	9.56698
ENSMUSG00000001016	63.9766	69.0298	74.9045	37.1103	40.7799	42.0699
ENSMUSG00000001017	31.3944	35.3537	39.9284	27.8242	31.7133	31.648
ENSMUSG00000001018	76.325	81.6171	93.2087	63.3566	61.8502	62.2572
ENSMUSG00000001020	1366.42	1546.43	1604.65	365.161	362.332	363.541
ENSMUSG00000001021	45.6704	45.5834	47.8703	16.6908	13.5806	18.6052
ENSMUSG00000001023	2.78286	0.223795	2.24331	0	0.254557	0.322858
ENSMUSG00000001025	5909.78	7034.67	6739.01	2031.09	2706.15	2608.58
ENSMUSG00000001034	6.90113	8.10682	7.84452	23.8711	23.2983	25.48
ENSMUSG00000001036	10.5336	12.8823	10.1594	17.2638	19.9007	14.8235
ENSMUSG00000001039	24.3708	26.0579	32.1216	14.0055	12.0217	13.1055
ENSMUSG00000001052	8.71724	7.1623	4.00119	16.944	18.0748	13.8743
