tracking_id	13_1	13_2	13_3	14_1	14_2	14_3
ENSMUSG00000000001	126.323	141.716	151.665	111.561	109.789	103.091	
ENSMUSG00000000003	0	0	0	0	0	0	
ENSMUSG00000000028	11.0616	10.7801	11.8018	8.87829	8.44886	8.24522	
ENSMUSG00000000031	381.116	433.173	471.562	168.978	188.003	184.188	
ENSMUSG00000000037	1.54285	2.23655	0.715274	1.1214	0.721114	0.383869	
ENSMUSG00000000049	0	0.764848	0	0.174394	0	0.865937	
ENSMUSG00000000056	2.46049	5.67595	3.35375	18.4732	15.8564	15.1682	
ENSMUSG00000000058	25.2995	27.3582	30.028	36.8376	43.8585	45.0444	
ENSMUSG00000000078	28.5013	27.7239	32.5815	224.967	215.239	206.892	
ENSMUSG00000000085	8.52745	7.80513	6.29974	15.669	14.1509	13.4156	
ENSMUSG00000000088	496.664	548.586	545.08	146.64	190.856	199.506	
ENSMUSG00000000093	0.0925807	0.0114278	0.0495352	0.198491	0.224732	0.28709	
ENSMUSG00000000094	1.44295	1.49277	1.4678	2.89045	2.22084	2.90431	
ENSMUSG00000000103	0	0	0	0	0.0738426	0	
ENSMUSG00000000120	0.401135	0.60367	0.588922	0.580671	0.400533	0.323338	
ENSMUSG00000000125	0.0221533	0.0273192	0	0.0237947	0.0503118	0	
ENSMUSG00000000126	2.38574	1.32077	1.18651	12.9898	12.0986	11.5115	
ENSMUSG00000000127	42.1995	48.3721	46.9101	35.9501	32.0026	31.6375	
ENSMUSG00000000131	37.815	29.6043	24.1641	35.95	26.3755	26.0202	
ENSMUSG00000000134	19.8668	19.2637	20.7143	23.0365	25.4326	25.178	
ENSMUSG00000000142	0.109	0.200885	0.347898	1.45516	1.28607	0.948589	
ENSMUSG00000000148	4.54458	4.59037	4.29582	12.7635	12.486	12.9431	
ENSMUSG00000000149	4.01017	3.05923	3.5673	2.19678	2.18631	2.18265	
ENSMUSG00000000154	2.08503	2.84823	1.74338	2.04074	1.42101	2.18176	
ENSMUSG00000000157	0.0134474	0	0	0	0	0.169523	
ENSMUSG00000000159	0	0	0	0	0	0	
ENSMUSG00000000167	0.886188	1.4261	1.05897	1.82594	0.845285	1.60856	
ENSMUSG00000000168	108.506	126.246	127.613	60.7946	64.8364	62.3391	
ENSMUSG00000000171	254.336	276.503	309.06	145.261	144.408	153.584	
ENSMUSG00000000182	0.120997	0	0.0539638	0.0729153	0.0302252	0	
ENSMUSG00000000183	0	0	0	0	0	0	
ENSMUSG00000000184	2186.26	2466.71	2390.64	476.058	640.233	659.362	
ENSMUSG00000000194	20.0405	19.0398	21.8548	43.9153	48.3905	45.9803	
ENSMUSG00000000197	0	0.0663335	0.0925488	0.0814694	0.190715	0.0723839	
ENSMUSG00000000202	0	0	0	0.0467634	0	0	
ENSMUSG00000000204	0	0	0	0.0193973	0.0823984	0	
ENSMUSG00000000214	0	0	0	0	0.0457585	0	
ENSMUSG00000000215	0.264956	0	0	0	0	0	
ENSMUSG00000000216	0	0.197186	0.122249	0.0163659	0	0	
ENSMUSG00000000223	0.837389	0.160217	0.948809	0.642484	1.05045	0.726454	
ENSMUSG00000000244	4.28299	7.38585	7.3651	2.01593	3.42653	2.18676	
ENSMUSG00000000247	0.158346	0.0298284	0.308745	0.142836	0	0.0657425	
ENSMUSG00000000248	0.0684564	0	0	0.156714	0.345431	0.0597306	
ENSMUSG00000000253	19.48	19.7514	22.0166	20.2555	20.4545	19.2782	
ENSMUSG00000000263	0.0407811	0	0	0.0508045	0.0611094	0.0413944	
ENSMUSG00000000266	1.36739	0.902106	1.71456	4.15517	4.50814	3.29877	
ENSMUSG00000000275	4.40229	4.48406	3.80272	6.67676	7.39886	7.93486	
ENSMUSG00000000276	0.346866	0.357619	0.580286	2.16896	1.89134	1.76785	
ENSMUSG00000000278	170.064	198.454	214.879	241.628	250.71	241.303	
ENSMUSG00000000282	0.718923	1.24372	0.855822	1.67122	1.41027	1.43167	
ENSMUSG00000000290	0.644702	0.283877	0.60588	0.161402	0.457204	0.163122	
ENSMUSG00000000295	76.9415	83.4372	103.684	30.9408	31.6452	35.1173	
ENSMUSG00000000296	19.5856	16.1156	19.2239	7.3827	8.7408	10.1054	
ENSMUSG00000000301	13.2502	13.5364	12.431	4.79226	5.06237	3.43276	
ENSMUSG00000000303	21.1149	19.5837	26.0417	6.4015	7.93077	5.57779	
ENSMUSG00000000305	1.039	0.989997	1.68145	0.358347	0.46281	0.691675	
ENSMUSG00000000308	10.5744	11.6205	9.59236	3.73673	3.44835	2.96494	
ENSMUSG00000000317	0.0301113	0.0990747	0.0134261	0.215374	0.182572	0.393896	
ENSMUSG00000000318	0	0.0917043	0	0	0	0	
ENSMUSG00000000320	1.01548	0.363312	0.703565	0.146747	0.33974	0.140683	
ENSMUSG00000000325	5.81176	6.51302	7.14603	10.063	9.58288	9.08543	
ENSMUSG00000000326	145.99	162.681	163.208	126.831	127.185	121.686	
ENSMUSG00000000339	82.8357	89.2734	101.506	31.1097	35.1866	34.3374	
ENSMUSG00000000340	6.34646	7.51352	8.2451	4.68362	4.61956	5.7148	
ENSMUSG00000000346	211.361	235.67	261.806	119.033	117.539	119.556	
ENSMUSG00000000355	118.055	129.341	134.605	67.6058	61.2723	61.5932	
ENSMUSG00000000359	2.43743	1.17881	2.69291	5.7868	6.72039	6.83293	
ENSMUSG00000000365	0.977413	1.02047	1.57269	0.536823	0.949003	0.254641	
ENSMUSG00000000374	2.61952	1.39857	1.2501	2.10167	1.02414	1.33817	
ENSMUSG00000000378	68.7991	59.9647	59.4129	79.8056	71.3775	69.1958	
ENSMUSG00000000381	0	0	0	0	0.336452	0.0956316	
ENSMUSG00000000384	6.85299	9.73482	6.86872	4.94298	4.472	3.24991	
ENSMUSG00000000385	0.00593347	0	0	0.0721802	0	0.138275	
ENSMUSG00000000386	0	0	0	0.281646	0	0	
ENSMUSG00000000392	7.36171	8.00735	9.57839	14.0881	12.5128	11.383	
ENSMUSG00000000394	0	0	0	0	0	0	
ENSMUSG00000000399	255.827	268.661	302.047	116.909	119.268	119.883	
