tracking_id	XH_1916	XH_1917	XH_1918	XH_1919	XH_1920	XH_1921	XH_1922	XH_1923	XH_1924
ENSMUSG00000000001	45.3209	44.2387	48.4486	46.6294	46.0161	44.5075	47.0918	46.2027	41.5312	
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	
ENSMUSG00000000028	40.4476	45.8898	41.1781	32.3253	38.0614	48.1999	39.7284	42.5119	41.9979	
ENSMUSG00000000031	6.30452	74.3989	108.116	156.485	79.028	328.057	13.7045	116.353	5.74532	
ENSMUSG00000000037	0.17983	0.75702	0.76369	2.77294	3.55832	0.650133	1.15566	0.399362	0.612697	
ENSMUSG00000000049	0.12682	0	0.0537074	0	0	0	0.0397374	0	0	
ENSMUSG00000000056	4.04427	5.27402	5.9616	5.43171	4.97739	5.91534	5.40888	6.79806	5.76137	
ENSMUSG00000000058	0.840382	0.875148	0.743891	1.74498	1.14693	1.22257	0.916312	0.70245	0.840634	
ENSMUSG00000000078	70.1466	35.4158	34.0654	38.5911	27.9603	31.0104	31.2046	32.2292	30.3265	
ENSMUSG00000000085	10.306	14.6502	14.5151	27.6957	15.7625	12.7159	22.2349	11.8675	18.4397	
ENSMUSG00000000088	365.51	356.538	256.237	351.961	314.013	235.397	229.666	273.052	310.652	
ENSMUSG00000000093	0.0890834	0.102445	0.303214	0.503047	0.250567	0.128694	0.120718	0.162639	0.249549	
ENSMUSG00000000094	0.303442	0.890238	1.20848	1.65532	0.749863	1.46034	1.92138	2.05976	1.1971	
ENSMUSG00000000103	0	0	0.0101615	0	0	0	0.0938836	0.0193266	0	
ENSMUSG00000000120	3.75879	7.41387	7.56546	4.97742	6.7767	8.37335	6.08516	8.30045	6.06872	
ENSMUSG00000000125	0.132389	0.20916	0.537089	0.109399	0.299471	0.383703	0.590008	0.651259	0.381833	
ENSMUSG00000000126	0.660042	1.04513	0.905457	0.604058	0.827093	0.919392	0.570569	1.05563	0.469819	
ENSMUSG00000000127	7.17271	5.87873	5.68447	10.4893	8.69349	4.71941	6.98623	5.21352	7.33975	
ENSMUSG00000000131	67.9097	75.8381	50.7792	42.2633	45.5958	64.3228	51.0262	73.8052	74.2298	
ENSMUSG00000000134	60.4151	48.7276	44.6727	62.9394	42.1327	50.0473	54.9896	49.1999	57.9456	
ENSMUSG00000000142	1.61779	2.68242	4.18835	5.55901	10.1969	4.06522	6.72641	3.90339	6.88487	
ENSMUSG00000000148	4.70216	5.64951	5.59107	4.07426	4.16328	5.27125	4.26805	5.5412	4.76669	
ENSMUSG00000000149	25.2896	25.0991	21.6573	18.9767	16.301	25.0816	19.2813	23.1321	25.1086	
ENSMUSG00000000154	1.83557	1.03717	0.897429	0.275991	1.86495	1.22112	0.952252	1.21688	2.5376	
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0	
ENSMUSG00000000159	0	0.035731	0.172854	0	0	0.082157	0.0804887	0.122291	0.177522	
ENSMUSG00000000167	0.681163	1.91392	1.95008	4.19902	1.82755	1.74871	2.05509	1.66213	1.56329	
ENSMUSG00000000168	55.0337	46.3307	42.9847	35.687	39.4235	51.5899	43.8513	44.8109	44.3215	
ENSMUSG00000000171	150.778	151.438	150.218	118.131	121.596	158.725	145.166	153.08	148.877	
ENSMUSG00000000182	0.0155783	0	0.0989326	0.198889	0.21694	0.103134	0.218708	0.0625336	0.163022	
ENSMUSG00000000183	0	0	0.0119547	0	0.0383684	0.024697	0	0	0	
ENSMUSG00000000184	4.36855	6.28716	5.28485	6.36796	9.46644	4.78402	11.5979	7.04457	11.4708	
ENSMUSG00000000194	18.9441	19.1533	15.5699	14.919	18.3815	19.0892	19.7055	21.234	21.6594	
ENSMUSG00000000197	0.18746	0.107846	0.159618	0.100598	0.172128	0.148719	0.118348	0.190728	0.0862088	
ENSMUSG00000000202	0.207238	1.64714	1.09563	2.97716	0.766619	1.23778	0.500362	0.850661	0.609815	
ENSMUSG00000000204	0.00726025	0.0858799	0.0304139	0.089409	0	0.0314605	0.100345	0.0144597	0.023245	
ENSMUSG00000000214	0.0622545	0.0632335	0.131233	0.0984838	0.46113	0	0.257948	0.0634088	0.257402	
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0.150078	
ENSMUSG00000000216	0	0	0.0095419	0.0564089	0	0	0.0370767	0.0181354	0.021855	
ENSMUSG00000000223	0.270717	0.334083	0.362748	0.441007	0.395605	0.267255	0.253327	0.378925	0.421871	
ENSMUSG00000000244	0.134833	0.180594	0.12985	0.846645	1.15884	0.191301	1.06897	0.156415	0.545488	
ENSMUSG00000000247	0.263733	0.582236	0.44618	0.219924	0.856095	0.22379	0.183924	0.791963	0.148789	
ENSMUSG00000000248	0.0455149	0	0.0120727	0	0	0	0.00939298	0.0940267	0	
ENSMUSG00000000253	6.56749	14.032	10.3683	14.284	13.1388	11.8344	14.8696	12.9729	14.8624	
ENSMUSG00000000263	0	0.0313543	0.0166622	0	0	0	0.052011	0.09479	0.0126704	
ENSMUSG00000000266	0.0930653	0.12927	0.102676	0.307724	0.144649	0.0970776	0.06141	0.109262	0.0638511	
ENSMUSG00000000275	23.2538	42.4734	41.0155	45.4953	49.066	40.4222	49.0726	37.158	56.0115	
ENSMUSG00000000276	7.83812	13.3102	13.7693	14.573	17.2429	16.2367	16.4569	14.7479	16.0515	
ENSMUSG00000000278	46.3001	61.7402	61.1109	89.324	82.5087	59.2922	75.471	51.9029	73.0215	
ENSMUSG00000000282	31.4784	35.7065	33.5186	35.3232	28.0627	31.4294	24.1514	35.0567	37.8624	
ENSMUSG00000000290	1.77998	1.68025	1.49981	2.16022	2.61388	1.77665	2.06564	3.17988	1.67036	
ENSMUSG00000000295	40.4033	37.8557	32.8564	32.0685	33.8112	38.8934	33.7265	32.7364	33.0086	
ENSMUSG00000000296	23.3725	18.4085	12.6978	15.6645	16.5576	20.4169	15.5141	17.1319	16.4112	
ENSMUSG00000000301	5.26042	13.1685	9.53215	9.08802	4.61395	12.6885	6.76005	9.87666	7.96072	
ENSMUSG00000000303	183.057	114.618	105.983	73.6957	68.2474	113.516	59.5896	94.7299	71.5119	
ENSMUSG00000000305	1.35646	0.729896	0.54686	0.766854	0.392731	0.915026	0.66929	2.09531	0.735037	
ENSMUSG00000000308	8.66682	6.99817	5.43097	4.43117	7.57405	7.80385	5.50308	7.11776	5.97083	
ENSMUSG00000000317	3.68921	3.56756	3.68155	1.18977	1.955	3.25168	2.79889	3.26767	2.54072	
ENSMUSG00000000318	0.0199157	0.204901	0	0	0	0.0888087	0.29854	0.195084	0.085803	
ENSMUSG00000000320	0.44154	0.75986	0.741917	0.375518	0.98501	0.956318	0.870972	0.937557	1.00066	
ENSMUSG00000000325	19.1399	36.8509	24.5685	29.8789	24.3061	26.2775	18.1481	29.7454	27.1818	
ENSMUSG00000000326	9.06631	11.2649	9.79154	9.62308	7.7328	10.4995	8.58402	10.9775	10.2145	
ENSMUSG00000000339	37.7273	35.6044	31.5655	43.7468	36.602	31.6762	31.9652	29.8178	31.9091	
ENSMUSG00000000340	22.8015	18.4817	16.4176	24.1751	23.9756	23.9896	20.1464	19.5824	24.1676	
ENSMUSG00000000346	40.4176	33.7103	31.6559	30.1186	26.8372	28.9234	27.7856	28.0034	32.1316	
ENSMUSG00000000355	25.2575	19.8835	20.0254	21.6581	21.4649	17.0577	24.3646	18.6299	21.426	
ENSMUSG00000000359	0.0685921	0.0402248	0.109125	0	0	0.0447709	0.0852269	0.0689373	0.0414572	
ENSMUSG00000000365	39.8772	34.0423	32.7422	54.5217	52.4917	33.7159	44.7722	38.9482	35.6815	
ENSMUSG00000000374	12.2954	9.52023	10.7335	10.1803	7.45531	10.9225	8.58499	10.1526	8.89309	
ENSMUSG00000000378	25.8477	46.9646	38.0306	25.0033	27.8624	41.4641	24.7684	46.815	31.1691	
ENSMUSG00000000381	0	0	0	0	0	0.162254	0	0	0	
ENSMUSG00000000384	112.388	163.812	151.319	123.945	120.443	170.589	131.317	170.016	152.32	
ENSMUSG00000000385	0.133191	0.317364	0.185718	0.701164	0.739979	0.306341	0.337495	0.33502	0.27127	
ENSMUSG00000000386	0	0.0410825	0.0213407	0.401013	0	0.0914979	0.0986964	0.0823197	0.0821118	
ENSMUSG00000000392	0.296214	0.0392946	0.0669827	0	0.0874748	0.103175	0.198812	0.203195	0.0889217	
ENSMUSG00000000394	0	0	0	0	0	0	0	0	0	
ENSMUSG00000000399	86.1394	85.133	70.0086	64.4391	67.677	82.988	74.423	85.6055	83.7805	
ENSMUSG00000000402	0.0708316	0.440342	0.574257	2.01804	1.31106	0.772054	1.91853	0.66675	1.20089	
ENSMUSG00000000409	26.3664	29.5756	26.7541	24.3594	20.6431	25.6815	17.9694	19.5604	21.5609	
ENSMUSG00000000411	0.184283	0.185255	0.0492429	0.152087	0	0.103405	0.0579025	0	0.0372821	
ENSMUSG00000000416	1.11301	0.261757	0.353217	0.194189	1.20745	0.289573	1.68322	0.675946	0.999906	
ENSMUSG00000000420	24.2592	23.1567	22.7986	26.0699	25.6582	25.0908	21.1745	19.6487	17.3137	
ENSMUSG00000000435	0.0133941	0	0.0282731	0	0	0.029413	0	0	0	
ENSMUSG00000000439	21.1274	28.6304	23.8743	28.7772	28.9898	34.5414	20.117	27.8759	21.6568	
ENSMUSG00000000440	0.136951	0.0260239	0.11887	0.272133	0	0.0354148	0.0662629	0.0965859	0.0272492	
ENSMUSG00000000441	79.1511	76.8637	64.6872	71.7368	64.6137	75.9709	68.7024	76.1544	79.7669	
ENSMUSG00000000486	26.22	22.6729	20.4422	150.607	180.951	23.8566	157.117	23.4528	154.43	
ENSMUSG00000000489	2.41749	1.23105	0.994438	1.97763	1.33016	1.46675	1.33582	1.15281	1.54607	
ENSMUSG00000000530	1.27843	1.94318	1.6496	0.853702	1.19746	1.4175	2.06147	1.38534	1.52096	
ENSMUSG00000000531	13.3537	8.52614	7.63837	10.2758	6.0856	6.58892	5.14948	6.80596	5.89294	
ENSMUSG00000000532	9.85346	8.64365	8.38107	8.39835	8.0334	8.61403	7.35367	8.44777	8.18793	
ENSMUSG00000000538	2.1565	3.82255	3.35944	4.16764	3.94685	3.84631	3.75464	3.35343	4.1625	
ENSMUSG00000000544	16.0678	18.3115	14.735	28.3891	33.9573	18.9604	37.1896	15.847	44.2913	
ENSMUSG00000000552	9.17022	10.8203	10.6739	9.66251	10.5983	8.28061	9.37007	9.0988	11.0372	
ENSMUSG00000000555	27.0697	18.7057	16.8427	12.2311	19.8328	19.7078	15.9925	17.4913	15.2935	
ENSMUSG00000000560	0	0	0.0130179	0	0	0	0	0	0	
ENSMUSG00000000561	182.466	170.109	158.832	112.828	109.147	181.929	148.918	172.211	169.668	
ENSMUSG00000000562	0	0	0	0	0	0	0	0.0493193	0	
ENSMUSG00000000563	197.415	193.246	177.711	190.484	208.102	186.382	187.415	188.913	197.792	
ENSMUSG00000000567	0.252406	0.713649	0.582196	0.754433	0.435343	0.615784	0.325664	0.360596	0.465885	
ENSMUSG00000000568	545.871	381.262	440.063	511.201	611.286	352.34	398.03	389.812	378.476	
ENSMUSG00000000579	0.826863	1.26859	1.0435	2.4497	1.10873	1.72157	1.87123	0.922933	1.41976	
ENSMUSG00000000581	32.2971	36.6651	37.8766	36.0195	41.9794	42.1996	43.5303	42.2615	53.7624	
ENSMUSG00000000594	4.63679	6.80623	5.74562	8.2364	9.46648	6.31069	7.76875	6.38778	8.69341	
ENSMUSG00000000600	11.4498	10.0269	12.2454	17.8326	15.7341	11.7962	13.4335	11.331	11.2304	
ENSMUSG00000000605	4.46481	3.97935	4.01563	4.51165	2.10857	4.22033	3.48645	3.67404	2.99425	
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0	
ENSMUSG00000000617	0.0736845	0.0645385	0.290585	0.202282	0.22157	0.0672814	0.141769	0.135021	0.121594	
ENSMUSG00000000627	1.19249	1.12478	1.65674	2.05236	1.25805	1.22683	1.47827	1.37448	1.59689	
ENSMUSG00000000628	74.7784	63.0898	52.8978	57.1245	59.5749	62.0623	54.3103	58.2658	67.0959	
ENSMUSG00000000631	21.4926	21.0063	14.8464	20.456	18.4157	22.7601	13.6462	18.183	14.8095	
ENSMUSG00000000632	0.321763	1.04792	0.571586	0.259089	0.593745	0.754175	0.221326	0.282703	0.198558	
ENSMUSG00000000673	0.141003	0.827964	0.317585	0.303348	0.650366	0.423569	0.159714	0.316873	0.211485	
ENSMUSG00000000682	1.39849	1.09497	1.49223	1.88258	1.97027	2.05212	1.98149	0.936767	2.12104	
ENSMUSG00000000686	0.0308669	0.0407129	0.132976	0	0	0	0.417486	0.0410952	0.0412581	
ENSMUSG00000000690	0.266522	0.492352	0.237323	0.292252	0	0.248226	0.315496	0.31436	0.233737	
ENSMUSG00000000693	3.66178	4.40583	3.92857	3.31469	5.97759	6.34288	4.61033	4.91837	3.41104	
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0	
ENSMUSG00000000706	0.0788633	0	0.097057	0.190404	0	0.136725	0.115516	0.287918	0.123802	
ENSMUSG00000000708	12.8308	11.7545	15.166	17.2429	22.129	10.9649	14.704	8.92337	12.4165	
ENSMUSG00000000711	14.2004	15.0824	16.0435	18.2154	19.1308	14.4079	16.2941	14.0635	16.2477	
ENSMUSG00000000724	0.0837651	0.431373	0.459072	0.701784	0.324557	0.0982468	0.1195	0.431063	0.185889	
ENSMUSG00000000730	208.962	165.502	172.156	138.172	128.402	169.662	160.998	158.882	147.131	
ENSMUSG00000000731	8.28675	7.57716	6.52133	18.8894	19.7396	7.26207	12.8431	8.66222	15.9825	
ENSMUSG00000000732	9.90088	11.0813	11.5129	7.6464	6.32067	10.0767	8.61308	9.91887	8.26099	
ENSMUSG00000000738	78.3113	76.7001	55.9055	23.5707	35.4634	64.7954	35.9432	66.344	42.1152	
ENSMUSG00000000739	2.97811	4.80692	3.96408	0.967945	2.41318	3.94199	2.13618	2.54638	2.22453	
ENSMUSG00000000740	3199.44	3462.52	2362.94	2026.14	2031.81	1989.58	1100.06	2463.72	1836.51	
ENSMUSG00000000743	67.3652	69.9992	63.7583	35.0131	37.5629	70.4763	44.3399	67.8968	48.7258	
ENSMUSG00000000751	130.757	199.275	195.655	163.177	176.521	210.916	211.611	199.199	214.763	
ENSMUSG00000000753	17.3232	25.5308	20.2914	13.1298	19.6357	17.7229	18.0102	28.238	15.9477	
ENSMUSG00000000759	25.9959	22.7803	23.164	15.3973	23.3018	28.0006	16.3615	24.2939	15.3058	
ENSMUSG00000000766	0	0	0.0388395	0	0	0	0	0	0	
ENSMUSG00000000776	49.41	51.0487	47.8163	32.3638	34.5148	49.8723	36.2766	47.3562	40.406	
ENSMUSG00000000782	15.9734	26.4039	25.3693	27.8588	28.4955	24.874	25.8548	24.08	28.0329	
ENSMUSG00000000787	260.95	207.781	258.544	252.498	253.502	248.635	249.65	222.633	224.946	
ENSMUSG00000000791	0.351261	0.503593	0.330983	0.372709	0.271895	0.27601	0.0960639	0.51209	0.233427	
ENSMUSG00000000792	2.51993	1.72719	1.61074	1.15493	0.758569	1.92221	1.15328	1.96657	1.45317	
