test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	regulation
ENSG00000101255	ENSG00000101255	TRIB3	20:362834-397559	human_15	human_16	OK	7.82624	23.2087	1.56827445676657	4.43199	5e-05	0.00403767	yes	up
ENSG00000135114	ENSG00000135114	OASL	12:121019110-121039242	human_15	human_16	OK	7.22763	15.4329	1.09441462643033	2.73942	5e-05	0.00403767	yes	up
ENSG00000164619	ENSG00000164619	BMPER	7:33904307-34156427	human_15	human_16	OK	39.8598	15.8155	-1.33359530460926	-2.97032	5e-05	0.00403767	yes	down
ENSG00000108691	ENSG00000108691	CCL2	17:34255217-34257203	human_15	human_16	OK	147.312	403.625	1.45414057908843	5.84566	5e-05	0.00403767	yes	up
ENSG00000251165	ENSG00000251165	F11-AS1	4:186265944-186555567	human_15	human_16	OK	2.11417	8.89737	2.07328756037282	3.13202	0.00025	0.0163116	yes	up
ENSG00000164761	ENSG00000164761	TNFRSF11B	8:118923556-118951885	human_15	human_16	OK	0.671439	1.8078	1.42890683639092	1.80458	0.00035	0.0212932	yes	up
ENSG00000144868	ENSG00000144868	TMEM108	3:133038390-133397792	human_15	human_16	OK	0.737449	2.98791	2.01852150780796	1.84764	5e-05	0.00403767	yes	up
ENSG00000187122	ENSG00000187122	SLIT1	10:96998037-97292673	human_15	human_16	OK	9.46484	4.32738	-1.12908430422223	-1.86468	0.0002	0.0135909	yes	down
ENSG00000136546	ENSG00000136546	SCN7A	2:166403572-166611482	human_15	human_16	OK	0.807947	2.19999	1.4451644032686	2.37164	5e-05	0.00403767	yes	up
ENSG00000107551	ENSG00000107551	RASSF4	10:44811023-44995891	human_15	human_16	OK	14.6877	34.9682	1.25143503797558	1.92271	0.00075	0.0374127	yes	up
ENSG00000198785	ENSG00000198785	GRIN3A	9:101569351-101738580	human_15	human_16	OK	4.84505	1.74861	-1.47030299939261	-2.2243	5e-05	0.00403767	yes	down
ENSG00000179772	ENSG00000179772	FOXS1	20:31844300-31845619	human_15	human_16	OK	2.05204	5.60868	1.45060241985371	2.75514	5e-05	0.00403767	yes	up
ENSG00000170430	ENSG00000170430	MGMT	10:129467189-129770983	human_15	human_16	OK	3.54766	1.1919	-1.5736045522568	-2.10962	0.0005	0.0277046	yes	down
ENSG00000149591	ENSG00000149591	TAGLN	11:117199320-117232525	human_15	human_16	OK	11.416	69.9879	2.61604828043245	3.34958	5e-05	0.00403767	yes	up
ENSG00000188783	ENSG00000188783	PRELP	1:203475805-203491352	human_15	human_16	OK	7.33572	3.55231	-1.04618108610719	-3.14353	5e-05	0.00403767	yes	down
ENSG00000154096	ENSG00000154096	THY1	11:119381777-119526664	human_15	human_16	OK	133.282	316.646	1.24838890007671	3.71526	5e-05	0.00403767	yes	up
ENSG00000116774	ENSG00000116774	OLFML3	1:113979390-114035572	human_15	human_16	OK	2.74985	7.08704	1.36583026774815	2.48071	5e-05	0.00403767	yes	up
