test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	regulation
ENSMUSG00000030105	ENSMUSG00000030105	Arl8b	6:108783098-108825278	XH_19_20_21	XH_22_23_24	OK	25.9389	22.0611	-0.233612572322134	-0.418744	0.46275	0.988571	no	-
ENSMUSG00000096054	ENSMUSG00000096054	Syne1	10:5020916-5551482	XH_19_20_21	XH_22_23_24	OK	1.27211	1.37546	0.112690758398209	0.173723	0.76655	0.998171	no	-
ENSMUSG00000020495	ENSMUSG00000020495	Smg8	11:87077731-87086774	XH_19_20_21	XH_22_23_24	OK	27.1227	26.8343	-0.0154225480336116	-0.0500251	0.92895	0.998171	no	-
ENSMUSG00000058979	ENSMUSG00000058979	Hdhd5	6:120509493-120531319	XH_19_20_21	XH_22_23_24	OK	10.6942	11.7861	0.140257849013247	0.363521	0.52615	0.998171	no	-
ENSMUSG00000038045	ENSMUSG00000038045	Sult6b1	17:78852563-78906992	XH_19_20_21	XH_22_23_24	OK	11.3781	11.9996	0.0767266494187581	0.0961941	0.87345	0.998171	no	-
ENSMUSG00000118263	ENSMUSG00000118263	AC125059.4	19:5298330-5308738	XH_19_20_21	XH_22_23_24	OK	1.23641	1.70175	0.460861881956063	0.265168	0.7302	0.998171	no	-
ENSMUSG00000027333	ENSMUSG00000027333	Smox	2:131491495-131525922	XH_19_20_21	XH_22_23_24	OK	8.18909	8.51372	0.0560864999026098	0.120884	0.81715	0.998171	no	-
ENSMUSG00000025237	ENSMUSG00000025237	Parp6	9:59617283-59650285	XH_19_20_21	XH_22_23_24	OK	6.21154	4.54733	-0.449931289532879	-0.663346	0.23205	0.868047	no	-
ENSMUSG00000006299	ENSMUSG00000006299	Aamp	1:74279839-74284738	XH_19_20_21	XH_22_23_24	OK	116.574	137.149	0.234498049100887	0.755649	0.1599	0.782901	no	-
ENSMUSG00000036792	ENSMUSG00000036792	Mbd5	2:48814108-49325405	XH_19_20_21	XH_22_23_24	OK	3.01264	2.84197	-0.0841369607046391	-0.054668	0.8532	0.998171	no	-
