test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	regulation
ENSMUSG00000078851	ENSMUSG00000078851	Hist3h2a	11:58954684-58978050	XH_19_20_21	XH_22_23_24	OK	9.53021	1.8143	-2.39309497496067	-4.61777	5e-05	0.00468291	yes	down
ENSMUSG00000071267	ENSMUSG00000071267	Zfp942	17:21926959-21962464	XH_19_20_21	XH_22_23_24	OK	2.38303	0.952465	-1.32305912942337	-2.09696	0.0009	0.0458637	yes	down
ENSMUSG00000064141	ENSMUSG00000064141	Zfp69	4:120930136-120951699	XH_19_20_21	XH_22_23_24	OK	2.83217	0.814575	-1.79778842268348	-2.24614	5e-05	0.00468291	yes	down
ENSMUSG00000103322	ENSMUSG00000103322	Gm37404	3:62123206-62123565	XH_19_20_21	XH_22_23_24	OK	58.5231	21.4054	-1.45103139658437	-2.95924	5e-05	0.00468291	yes	down
ENSMUSG00000064796	ENSMUSG00000064796	Terc	3:96414436-96414859	XH_19_20_21	XH_22_23_24	OK	19.6863	0.700818	-4.81200834491034	-4.8706	0.00025	0.0173995	yes	down
ENSMUSG00000091405	ENSMUSG00000091405	Hist2h4	3:96261681-96263311	XH_19_20_21	XH_22_23_24	OK	2.38467	0.219509	-3.44143763679411	-4.02588	5e-05	0.00468291	yes	down
ENSMUSG00000072761	ENSMUSG00000072761	Gm6712	17:17294442-17319511	XH_19_20_21	XH_22_23_24	OK	10.854	4.16507	-1.38181416631776	-2.14503	0.00055	0.0316616	yes	down
ENSMUSG00000051627	ENSMUSG00000051627	Hist1h1e	13:23583669-23622558	XH_19_20_21	XH_22_23_24	OK	9.92677	0.304962	-5.02462297501036	-4.51551	0.00015	0.0116579	yes	down
ENSMUSG00000069793	ENSMUSG00000069793	Slfn9	11:82978389-82991830	XH_19_20_21	XH_22_23_24	OK	2.19051	0.933062	-1.23122194737632	-2.15834	0.0006	0.0336119	yes	down
ENSMUSG00000060678	ENSMUSG00000060678	Hist1h4c	13:23697634-23698454	XH_19_20_21	XH_22_23_24	OK	28.7337	1.72671	-4.05664607025601	-6.8	5e-05	0.00468291	yes	down
ENSMUSG00000058773	ENSMUSG00000058773	Hist1h1b	13:21779882-21780625	XH_19_20_21	XH_22_23_24	OK	43.8729	1.48788	-4.88199999120161	-7.71578	5e-05	0.00468291	yes	down
ENSMUSG00000096010	ENSMUSG00000096010	Hist4h4	6:136801552-136804415	XH_19_20_21	XH_22_23_24	OK	1.78909	0.200416	-3.15815636956969	-4.29842	5e-05	0.00468291	yes	down
ENSMUSG00000042524	ENSMUSG00000042524	Sun2	15:79724069-79742536	XH_19_20_21	XH_22_23_24	OK	5137.89	772.137	-2.73424725089513	-4.82203	5e-05	0.00468291	yes	down
ENSMUSG00000101972	ENSMUSG00000101972	Hist1h3i	13:21782959-21783370	XH_19_20_21	XH_22_23_24	OK	21.1786	1.16525	-4.18389580591045	-4.65063	5e-05	0.00468291	yes	down
ENSMUSG00000001158	ENSMUSG00000001158	Snrnp27	6:86675150-86684522	XH_19_20_21	XH_22_23_24	OK	91.8162	42.6108	-1.10752958665198	-2.44008	0.00015	0.0116579	yes	down
ENSMUSG00000107751	ENSMUSG00000107751	Gm6749	6:108882003-108882408	XH_19_20_21	XH_22_23_24	OK	1.45502	0.001	-10.506823268519	-nan	5e-05	0.00468291	yes	down
ENSMUSG00000062727	ENSMUSG00000062727	Hist1h2bk	13:22035869-22036345	XH_19_20_21	XH_22_23_24	OK	28.6368	2.74555	-3.38270319865155	-5.11124	5e-05	0.00468291	yes	down
ENSMUSG00000021373	ENSMUSG00000021373	Cap2	13:46472668-46650281	XH_19_20_21	XH_22_23_24	OK	4.87658	0.793472	-2.61961850494713	-3.5892	5e-05	0.00468291	yes	down
ENSMUSG00000116947	ENSMUSG00000116947	2410003I16Rik	16:94011440-94012236	XH_19_20_21	XH_22_23_24	OK	12.8353	4.8962	-1.39038262091804	-2.18511	0.00035	0.0227112	yes	down
ENSMUSG00000093622	ENSMUSG00000093622	Gm20703	17:70834663-70836044	XH_19_20_21	XH_22_23_24	OK	0.001	1.48067	10.5320344246723	-nan	5e-05	0.00468291	yes	up
ENSMUSG00000095217	ENSMUSG00000095217	Hist1h2bn	13:21754122-21754503	XH_19_20_21	XH_22_23_24	OK	52.962	2.058	-4.68564271621301	-6.00596	5e-05	0.00468291	yes	down
ENSMUSG00000069301	ENSMUSG00000069301	Hist1h2ag	13:22042459-22042944	XH_19_20_21	XH_22_23_24	OK	23.4492	2.36899	-3.30719469037232	-4.63251	5e-05	0.00468291	yes	down
ENSMUSG00000022899	ENSMUSG00000022899	Slc15a2	16:36750176-36784962	XH_19_20_21	XH_22_23_24	OK	2.96012	0.499683	-2.56657062103399	-1.93457	0.00015	0.0116579	yes	down
ENSMUSG00000000037	ENSMUSG00000000037	Scml2	X:161117192-161258213	XH_19_20_21	XH_22_23_24	OK	2.32713	0.722573	-1.6873365535065	-1.95609	0.0005	0.0294552	yes	down
ENSMUSG00000069305	ENSMUSG00000069305	Hist1h4n	13:21831766-21832196	XH_19_20_21	XH_22_23_24	OK	36.4361	1.39815	-4.70377749295636	-5.55767	5e-05	0.00468291	yes	down
