test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	regulation
ENSMUSG00000020495	ENSMUSG00000020495	Smg8	11:87077731-87086774	mouse_13	mouse_14	OK	4.279	10.3419	1.27315567592743	4.05805	5e-05	0.000176968	yes	up
ENSMUSG00000049536	ENSMUSG00000049536	Tceal1	X:136707981-136711478	mouse_13	mouse_14	OK	1.10861	2.38218	1.1035305025144	2.47988	5e-05	0.000176968	yes	up
ENSMUSG00000036792	ENSMUSG00000036792	Mbd5	2:48814108-49325405	mouse_13	mouse_14	OK	3.8754	11.7989	1.6062352336247	1.01983	0.01795	0.0370036	yes	up
ENSMUSG00000041241	ENSMUSG00000041241	Mul1	4:138434670-138442265	mouse_13	mouse_14	OK	2.87988	8.05803	1.48441847852012	2.05423	0.0005	0.00148851	yes	up
ENSMUSG00000041607	ENSMUSG00000041607	Mbp	18:82475145-82585637	mouse_13	mouse_14	OK	6.46657	2.45782	-1.39562141746072	-2.14409	5e-05	0.000176968	yes	down
ENSMUSG00000001053	ENSMUSG00000001053	N4bp3	11:51643062-51650842	mouse_13	mouse_14	OK	6.59882	1.84693	-1.8370788768667	-4.49148	5e-05	0.000176968	yes	down
ENSMUSG00000034297	ENSMUSG00000034297	Med13	11:86201369-86357602	mouse_13	mouse_14	OK	0.884979	2.22864	1.33244846539055	0.857053	0.0083	0.0186655	yes	up
ENSMUSG00000038459	ENSMUSG00000038459	Abhd17c	7:84109355-84151893	mouse_13	mouse_14	OK	2.90881	0.983606	-1.5642766238781	-2.71488	5e-05	0.000176968	yes	down
ENSMUSG00000026577	ENSMUSG00000026577	Blzf1	1:164289799-164458355	mouse_13	mouse_14	OK	10.9077	22.4381	1.04060359071287	2.49346	0.0001	0.000337677	yes	up
ENSMUSG00000020123	ENSMUSG00000020123	Avpr1a	10:122386891-122546498	mouse_13	mouse_14	OK	1.42026	8.62627	2.60258181177774	6.56074	5e-05	0.000176968	yes	up
ENSMUSG00000034639	ENSMUSG00000034639	Setmar	6:108065044-108077122	mouse_13	mouse_14	OK	1.49706	4.3543	1.54030876521857	3.20452	5e-05	0.000176968	yes	up
ENSMUSG00000000544	ENSMUSG00000000544	Gpa33	1:166130237-166166510	mouse_13	mouse_14	OK	6.50933	2.45655	-1.40587545197565	-3.29521	5e-05	0.000176968	yes	down
ENSMUSG00000062184	ENSMUSG00000062184	Hs6st2	X:51387211-51681856	mouse_13	mouse_14	OK	38.0217	81.7039	1.10358190645363	1.81646	0.0018	0.00474109	yes	up
ENSMUSG00000030623	ENSMUSG00000030623	Prss23os	7:89507782-89527187	mouse_13	mouse_14	OK	85.1906	188.916	1.14897873791683	3.66048	5e-05	0.000176968	yes	up
ENSMUSG00000037266	ENSMUSG00000037266	Rsrp1	4:134923591-134927671	mouse_13	mouse_14	OK	23.5858	137.767	2.54623991248955	6.94908	5e-05	0.000176968	yes	up
ENSMUSG00000048706	ENSMUSG00000048706	Lurap1l	4:80910645-80955628	mouse_13	mouse_14	OK	11.594	59.9114	2.36945215583854	9.31135	5e-05	0.000176968	yes	up
ENSMUSG00000022551	ENSMUSG00000022551	Cyc1	15:76343522-76346260	mouse_13	mouse_14	OK	374.679	141.608	-1.40375234848149	-5.10635	5e-05	0.000176968	yes	down
ENSMUSG00000027940	ENSMUSG00000027940	Tpm3	3:90072648-90100902	mouse_13	mouse_14	OK	372.585	182.445	-1.03010797994282	-4.43686	5e-05	0.000176968	yes	down
ENSMUSG00000055421	ENSMUSG00000055421	Pcdh9	14:93013409-93890679	mouse_13	mouse_14	OK	2.13678	11.0323	2.36822331071776	4.67978	5e-05	0.000176968	yes	up
ENSMUSG00000026102	ENSMUSG00000026102	Inpp1	1:52785426-52817688	mouse_13	mouse_14	OK	28.5487	10.1385	-1.49358083207089	-2.77903	5e-05	0.000176968	yes	down
ENSMUSG00000027523	ENSMUSG00000027523	Gnas	2:174281236-174346744	mouse_13	mouse_14	OK	500.576	118.893	-2.07392534621139	-4.03362	5e-05	0.000176968	yes	down
ENSMUSG00000062201	ENSMUSG00000062201	Prl3d3	13:27156789-27162593	mouse_13	mouse_14	OK	1.28701	0.200317	-2.68366649678897	-1.6721	0.0059	0.0137769	yes	down
ENSMUSG00000037784	ENSMUSG00000037784	Dzip1l	9:99629495-99669256	mouse_13	mouse_14	OK	3.46535	11.1601	1.68727697759661	2.90663	5e-05	0.000176968	yes	up
ENSMUSG00000102550	ENSMUSG00000102550	Gm8276	3:59431536-59433348	mouse_13	mouse_14	OK	1.67591	0.549174	-1.60960944575936	-2.52779	0.00025	0.000789936	yes	down
ENSMUSG00000042225	ENSMUSG00000042225	Ammecr1	X:142851145-142966728	mouse_13	mouse_14	OK	15.4542	1.98436	-2.96125328734297	-9.68531	5e-05	0.000176968	yes	down
ENSMUSG00000062991	ENSMUSG00000062991	Nrg1	8:31814550-32884029	mouse_13	mouse_14	OK	6.11016	15.0365	1.29918673048115	3.0747	5e-05	0.000176968	yes	up
ENSMUSG00000047710	ENSMUSG00000047710	Champ1	8:13869640-13881639	mouse_13	mouse_14	OK	4.89663	11.6659	1.25243652044074	4.29385	5e-05	0.000176968	yes	up
ENSMUSG00000028756	ENSMUSG00000028756	Pink1	4:138313408-138326307	mouse_13	mouse_14	OK	31.0801	12.2751	-1.34025636800557	-4.70884	5e-05	0.000176968	yes	down
ENSMUSG00000030495	ENSMUSG00000030495	Slc7a10	7:35186384-35215498	mouse_13	mouse_14	OK	1.48562	0.165338	-3.1675748969841	-1.86999	0.00285	0.00715659	yes	down
ENSMUSG00000002897	ENSMUSG00000002897	Il17ra	6:120463246-120487559	mouse_13	mouse_14	OK	4.79169	11.7083	1.28892513667338	2.40066	5e-05	0.000176968	yes	up
ENSMUSG00000104444	ENSMUSG00000104444	Gm33051	3:28805435-28813985	mouse_13	mouse_14	OK	161.107	52.9651	-1.60490522882434	-1.98654	0.0018	0.00474109	yes	down
ENSMUSG00000033983	ENSMUSG00000033983	Coil	11:88970251-88991613	mouse_13	mouse_14	OK	2.01241	4.15464	1.04579920898641	2.61996	5e-05	0.000176968	yes	up
ENSMUSG00000031523	ENSMUSG00000031523	Dlc1	8:36567750-36953143	mouse_13	mouse_14	OK	1.31469	12.0502	3.19626252988015	4.54705	5e-05	0.000176968	yes	up
ENSMUSG00000040139	ENSMUSG00000040139	9430038I01Rik	7:137375573-137410762	mouse_13	mouse_14	OK	2.34325	5.01248	1.09701369244706	1.80419	0.00265	0.00671058	yes	up
ENSMUSG00000081344	ENSMUSG00000081344	Gm14303	2:172509520-172509691	mouse_13	mouse_14	OK	132.79	36.6178	-1.85852948428761	-2.01169	0.0021	0.00545329	yes	down
ENSMUSG00000039239	ENSMUSG00000039239	Tgfb2	1:186622791-186707033	mouse_13	mouse_14	OK	13.4052	33.8258	1.33533131129869	2.91842	5e-05	0.000176968	yes	up
ENSMUSG00000091387	ENSMUSG00000091387	Gcnt4	13:96924688-96950914	mouse_13	mouse_14	OK	0.648724	7.82379	3.59219092869499	8.76607	5e-05	0.000176968	yes	up
ENSMUSG00000039968	ENSMUSG00000039968	Rsbn1l	5:20893027-20956398	mouse_13	mouse_14	OK	0.308292	1.29722	2.07305381401437	2.20095	5e-05	0.000176968	yes	up
ENSMUSG00000045394	ENSMUSG00000045394	Epcam	17:87635978-87651129	mouse_13	mouse_14	OK	4.78595	0.751199	-2.67153827718175	-4.16651	5e-05	0.000176968	yes	down
ENSMUSG00000028060	ENSMUSG00000028060	Khdc4	3:88685023-88712924	mouse_13	mouse_14	OK	15.6688	34.0771	1.12090787101185	3.83553	5e-05	0.000176968	yes	up
ENSMUSG00000027318	ENSMUSG00000027318	Adam33	2:131050590-131063814	mouse_13	mouse_14	OK	1.77422	8.36725	2.23756862889459	3.1322	5e-05	0.000176968	yes	up
ENSMUSG00000021767	ENSMUSG00000021767	Kat6b	14:21481433-21672478	mouse_13	mouse_14	OK	2.5617	6.2921	1.29644006766641	0.907149	0.01475	0.0311416	yes	up
ENSMUSG00000020471	ENSMUSG00000020471	Pold2	11:5872179-5878292	mouse_13	mouse_14	OK	126.308	41.9735	-1.5893953444971	-6.58764	5e-05	0.000176968	yes	down
ENSMUSG00000033033	ENSMUSG00000033033	Calhm2	19:47090767-47138294	mouse_13	mouse_14	OK	1.23491	5.93947	2.26592829765989	2.92389	0.0001	0.000337677	yes	up
ENSMUSG00000062683	ENSMUSG00000062683	Atp5g2	15:102662863-102672352	mouse_13	mouse_14	OK	202.521	86.8809	-1.22096055983634	-3.79306	5e-05	0.000176968	yes	down
ENSMUSG00000046180	ENSMUSG00000046180	4930550L24Rik	X:58909359-58920304	mouse_13	mouse_14	OK	10.0725	1.20514	-3.06314914763357	-6.31029	5e-05	0.000176968	yes	down
ENSMUSG00000050608	ENSMUSG00000050608	Minos1	4:139101813-139131113	mouse_13	mouse_14	OK	695.576	304.693	-1.19085179906394	-3.89412	5e-05	0.000176968	yes	down
ENSMUSG00000117822	ENSMUSG00000117822	AC133509.1	19:17926622-17928009	mouse_13	mouse_14	OK	1.76207	0.602345	-1.54860928896159	-2.23667	0.0007	0.00201905	yes	down
ENSMUSG00000028843	ENSMUSG00000028843	Sh3bgrl3	4:134102569-134128789	mouse_13	mouse_14	OK	882.721	411.995	-1.09933069108991	-5.05146	5e-05	0.000176968	yes	down
ENSMUSG00000055862	ENSMUSG00000055862	Izumo4	10:80702183-80705373	mouse_13	mouse_14	OK	7.55897	21.0257	1.47589226382357	2.60753	5e-05	0.000176968	yes	up
ENSMUSG00000028081	ENSMUSG00000028081	Rps3a1	3:86137939-86142702	mouse_13	mouse_14	OK	1153.37	344.063	-1.74511074209141	-8.29836	5e-05	0.000176968	yes	down
ENSMUSG00000025813	ENSMUSG00000025813	Homer2	7:81600480-81707527	mouse_13	mouse_14	OK	35.2262	5.73584	-2.61857216752541	-6.15936	5e-05	0.000176968	yes	down
ENSMUSG00000018474	ENSMUSG00000018474	Chd3	11:69343272-69369406	mouse_13	mouse_14	OK	35.4699	16.5932	-1.09600312591687	-1.58673	0.00705	0.0161176	yes	down
ENSMUSG00000041506	ENSMUSG00000041506	Rrp9	9:106470321-106485424	mouse_13	mouse_14	OK	68.9829	20.4575	-1.7536089281861	-4.33153	5e-05	0.000176968	yes	down
ENSMUSG00000040584	ENSMUSG00000040584	Abcb1a	5:8660076-8748575	mouse_13	mouse_14	OK	1.1293	0.433082	-1.38271667416857	-1.095	0.0062	0.0143895	yes	down
ENSMUSG00000037463	ENSMUSG00000037463	Fbxo27	7:28692848-28699338	mouse_13	mouse_14	OK	0.984767	3.70008	1.90970214144717	1.80572	5e-05	0.000176968	yes	up
ENSMUSG00000096808	ENSMUSG00000096808	AC132444.6	GL456221.1:111571-163011	mouse_13	mouse_14	OK	0.763516	2.2644	1.56839853365927	2.51098	0.00045	0.00134938	yes	up
ENSMUSG00000026491	ENSMUSG00000026491	Ahctf1	1:179695296-179804676	mouse_13	mouse_14	OK	6.83152	13.8609	1.02074241972693	2.28484	0.0001	0.000337677	yes	up
ENSMUSG00000098188	ENSMUSG00000098188	Sowahc	10:59221952-59226434	mouse_13	mouse_14	OK	0.747351	2.20228	1.55914002443697	3.71874	5e-05	0.000176968	yes	up
ENSMUSG00000028518	ENSMUSG00000028518	Prkaa2	4:105029873-105109890	mouse_13	mouse_14	OK	2.11169	0.697282	-1.59858391520019	-4.33216	5e-05	0.000176968	yes	down
ENSMUSG00000028970	ENSMUSG00000028970	Abcb1b	5:8773576-8866315	mouse_13	mouse_14	OK	18.9051	7.27208	-1.37833550480327	-2.55102	0.0001	0.000337677	yes	down
ENSMUSG00000109511	ENSMUSG00000109511	Nup62	7:44812255-44855421	mouse_13	mouse_14	OK	20.3659	42.5892	1.06433205977643	2.6591	5e-05	0.000176968	yes	up
ENSMUSG00000018920	ENSMUSG00000018920	Cxcl16	11:70453982-70466202	mouse_13	mouse_14	OK	10.5737	4.79218	-1.14172629625679	-2.74803	5e-05	0.000176968	yes	down
ENSMUSG00000032086	ENSMUSG00000032086	Bace1	9:45838579-45936058	mouse_13	mouse_14	OK	11.8677	24.5122	1.04645961072427	0.785102	0.01715	0.0355606	yes	up
ENSMUSG00000114117	ENSMUSG00000114117	Gm48795	13:62813075-62815523	mouse_13	mouse_14	OK	5.36072	2.53749	-1.07902464573547	-2.0523	0.0007	0.00201905	yes	down
ENSMUSG00000033943	ENSMUSG00000033943	Mga	2:119897227-119969581	mouse_13	mouse_14	OK	7.06254	18.8625	1.41726186223111	2.79808	5e-05	0.000176968	yes	up
ENSMUSG00000046814	ENSMUSG00000046814	Gchfr	2:119167772-119172390	mouse_13	mouse_14	OK	112.051	23.8111	-2.23444934888942	-6.99485	5e-05	0.000176968	yes	down
ENSMUSG00000019054	ENSMUSG00000019054	Fis1	5:136953274-136966234	mouse_13	mouse_14	OK	253.319	125.38	-1.01464805447276	-4.1699	5e-05	0.000176968	yes	down
