test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	regulation
ENSG00000127720	ENSG00000127720	METTL25	12:82223680-82479239	human_15	human_16	OK	13.2683	15.1186	0.188341013151498	0.313233	0.5502	0.997009	no	-
ENSG00000051596	ENSG00000051596	THOC3	5:175906938-176034680	human_15	human_16	OK	20.4813	23.5303	0.200212424593417	0.436305	0.44275	0.997009	no	-
ENSG00000135541	ENSG00000135541	AHI1	6:135283531-135497765	human_15	human_16	OK	18.1498	20.1665	0.152007067849875	0.290234	0.5839	0.997009	no	-
ENSG00000143376	ENSG00000143376	SNX27	1:151612005-151699091	human_15	human_16	OK	19.6838	20.229	0.0394162405491525	0.145124	0.77975	0.997009	no	-
ENSG00000274372	ENSG00000274372	AC239803.3	1:148021849-148025931	human_15	human_16	OK	1.02157	0.390246	-1.38833231393329	-0.772597	0.33685	0.997009	no	-
ENSG00000172172	ENSG00000172172	MRPL13	8:120380760-120813359	human_15	human_16	OK	43.4087	53.9252	0.312975404591156	0.865117	0.12865	0.777687	no	-
ENSG00000100218	ENSG00000100218	RSPH14	22:23059414-23145021	human_15	human_16	OK	1.75694	0.868125	-1.01709022953547	-0.662282	0.1297	0.779366	no	-
ENSG00000225937	ENSG00000225937	PCA3	9:76419849-76906114	human_15	human_16	OK	1.26647	0.811614	-0.641947246751803	-0.38592	0.32065	0.997009	no	-
ENSG00000132604	ENSG00000132604	TERF2	16:69105652-69408571	human_15	human_16	OK	6.29312	4.39725	-0.517173895664862	-0.160307	0.535	0.997009	no	-
ENSG00000131724	ENSG00000131724	IL13RA1	X:118727132-118794535	human_15	human_16	OK	11.585	12.9738	0.163343059766851	0.54075	0.3336	0.997009	no	-
ENSG00000128595	ENSG00000128595	CALU	7:128739291-128775790	human_15	human_16	OK	313.095	431.203	0.461766745952032	1.88882	0.00145	0.0600267	no	-
ENSG00000136531	ENSG00000136531	SCN2A	2:164653623-165392310	human_15	human_16	OK	1.04929	1.86674	0.83110754136934	0.459718	0.2991	0.982344	no	-
ENSG00000175220	ENSG00000175220	ARHGAP1	11:46677079-46700619	human_15	human_16	OK	35.6533	35.0003	-0.0266683279300251	-0.100488	0.85225	0.997009	no	-
ENSG00000168283	ENSG00000168283	BMI1	10:22316385-22331484	human_15	human_16	OK	14.8963	17.3098	0.216635022620063	0.32934	0.4507	0.997009	no	-
ENSG00000228175	ENSG00000228175	GEMIN8P4	1:89993592-89994321	human_15	human_16	OK	6.84612	5.30745	-0.367267705414008	-0.67499	0.23815	0.928446	no	-
ENSG00000276185	ENSG00000276185	RF02196	7:87325224-87345515	human_15	human_16	OK	30.9451	38.0569	0.298447064757779	0.145934	0.81505	0.997009	no	-
ENSG00000249474	ENSG00000249474	AC020651.1	3:101779201-101861022	human_15	human_16	OK	0.364064	0.873565	1.26272296602451	0.208911	0.56585	0.997009	no	-
ENSG00000034510	ENSG00000034510	TMSB10	2:84821649-84907008	human_15	human_16	OK	2564.07	2473.57	-0.0518409214097878	-0.263684	0.64435	0.997009	no	-
ENSG00000174684	ENSG00000174684	B4GAT1	11:66345373-66347629	human_15	human_16	OK	63.8993	66.353	0.0543615683308123	0.219973	0.69805	0.997009	no	-
ENSG00000285190	ENSG00000285190	AC018754.1	5:87267887-87499340	human_15	human_16	OK	1.04166	1.73068	0.732454541551102	0.38984	0.54305	0.997009	no	-
ENSG00000131652	ENSG00000131652	THOC6	16:3022619-3060726	human_15	human_16	OK	63.2732	57.2408	-0.144550725663476	-0.463207	0.4215	0.997009	no	-
